MCONumber                               CompanyName                                        WKT
773                                     UHC of Louisville                                  POLYGON ((-87.983732159999988 38.230354979999994, -87.98527512 38.215486979999994, -87.977495159999989 38.19978396, -87.93376812 38.15631801, -87.920712 38.17403298, -87.91671708 38.156641019999995, -87.94482516 38.12727303, -87.97130892 38.128169969999995
774                                     UHC of Knoxville                                   POLYGON ((-85.87304712 35.220402, -85.863292919999992 35.220321, -85.863089159999987 35.20861803, -85.870347119999991 35.207732969999995, -85.871138039999991 35.205524999999994, -85.87285308 35.205582959999994, -85.87114992 35.202213, -85.873034159999989 3
775                                     UHC of Central Alabama                             POLYGON ((-88.34043312 32.99120001, -88.34788692 32.929083, -88.38879696 32.57812404, -88.42145292 32.30867997, -88.43137884 32.22766602, -88.473228119999987 31.893856019999998, -88.46442504 31.697882009999997, -88.449437879999991 31.435849979999997, -88.4
776                                     UHC of Central Georgia                             POLYGON ((-84.521364119999987 33.65579502, -84.51995292 33.64792101, -84.519321839999989 33.647346, -84.51464184 33.645015, -84.51398988 33.64381701, -84.51382104 33.64222203, -84.51003096 33.64315002, -84.51039204 33.64437501, -84.50957088 33.644337029999
777                                     UHC of Atlanta West                                POLYGON ((-85.42171692 34.080756029999996, -85.384815839999987 33.891785999999996, -85.34277612 33.675624, -85.29015815999999 33.40923399, -85.28940107999999 33.40904301, -85.28858208 33.40780596, -85.28705316 33.407440019999996, -85.28656104 33.40895103, 
778                                     UHC of S Alabama                                   POLYGON ((-88.432008119999992 31.114298969999997, -88.425433079999991 30.99832398, -88.412613119999989 30.735590039999998, -88.406063999999986 30.58692102, -88.395703919999988 30.381294959999998, -88.39415016 30.352492979999997, -88.39398096 30.34930697999
779                                     UHC of Southern Georgia                            POLYGON ((-85.23650808 33.129566999999994, -85.23237816 33.10807797, -85.20906384 32.99133303, -85.19600484 32.92633602, -85.189071959999993 32.89141404, -85.18474008 32.87052702, -85.18426416 32.86169604, -85.178402999999989 32.854653989999996, -85.169490
780                                     UHC of West Charlotte                              POLYGON ((-80.695536839999988 36.03025098, -80.70137604 36.034442999999996, -80.70669792 36.036738989999996, -80.70901488 36.03670398, -80.71096716 36.034934039999996, -80.713259999999991 36.03474198, -80.715002039999987 36.03597903, -80.71732404 36.038858
781                                     UHC of Eastern Florida                             POLYGON ((-81.027011879999989 27.642003029999998, -81.14217803999999 27.643238009999997, -81.14357484 27.597042, -81.15737688 27.58798602, -81.16149888 27.574422029999997, -81.182168999999988 27.55640196, -81.194240159999993 27.554788979999998, -81.1968811
782                                     UHC of Raleigh                                     POLYGON ((-79.106110919999992 36.54163998, -79.104869999999991 36.538477019999995, -79.104018959999991 36.53767602, -79.10280216 36.53762004, -79.10373204 36.536896979999995, -79.10316684 36.53574903, -79.10044884 36.536065019999995, -79.098552 36.53527302
783                                     UHC of South Carolina                              POLYGON ((-81.61403184 33.09525099, -81.60035112 33.107264009999994, -81.60925284 33.11114796, -81.614738159999987 33.11562402, -81.61723296 33.11829702, -81.62573904 33.12573201, -81.624112919999988 33.127578989999996, -81.62389512 33.12833499, -81.622533
784                                     UHC of Jacksonville                                POLYGON ((-82.01617596 30.79162503, -82.01885508 30.787845029999996, -82.02443292 30.785615009999997, -82.01136204 30.76153002, -82.01200716 30.761262, -82.01292588 30.761794979999998, -82.01904588 30.756311009999997, -82.02701411999999 30.750392969999996,
785                                     UHC of West Orlando                                POLYGON ((-81.622311119999992 28.002269969999997, -81.61991388 28.000181969999996, -81.61990415999999 28.000139039999997, -81.619374959999988 28.000664999999998, -81.617437079999988 27.98954001, -81.614994119999992 27.979040969999996, -81.612642959999988 2
786                                     UHC of West Tampa                                  POLYGON ((-82.414069919999989 27.977804999999996, -82.430637839999989 27.977819039999996, -82.43064 27.97722198, -82.43138196 27.977209019999997, -82.431380159999989 27.97781499, -82.44293291999999 27.977855039999998, -82.44294192 27.996024959999996, -82.4
787                                     UHC of Miami                                       POLYGON ((-81.481088879999987 25.803198, -81.39610692 25.773483959999997, -81.363471839999988 25.715293019999997, -81.35776908 25.685911979999997, -81.31150908 25.692188039999998, -81.286161839999991 25.653374999999997, -81.27602316 25.612253009999996, -81
788                                     UHC of Ft Lauderdale                               POLYGON ((-80.88123311999999 26.333807039999996, -80.87981004 26.259455969999998, -80.87914008 26.172387989999997, -80.872944839999988 25.97943402, -80.680038119999992 25.97874804, -80.68009896 25.956900989999998, -80.43958008 25.95688002, -80.39007396 25.
789                                     UHC of Central North Carolina                      POLYGON ((-80.38275696 36.54788499, -80.38392984 36.546786989999994, -80.37877103999999 36.53800596, -80.39703816 36.52242003, -80.40563784 36.52380702, -80.410737959999992 36.52896996, -80.416017 36.523233, -80.41548311999999 36.514962, -80.41477103999999
790                                     UHC of New Hampshire                               POLYGON ((-71.45200908 42.700390019999993, -71.44969608 42.700382999999995, -71.431506 42.699990959999994, -71.38660788 42.698789999999995, -71.36965511999999 42.698322989999994, -71.35192296 42.69815397, -71.33020596 42.69718998, -71.29420488 42.69699, -7
791                                     UHC of Western Mass & Vermont                      POLYGON ((-72.28298088 42.72154902, -72.41201496 42.72543603, -72.44604 42.726515039999995, -72.45851904 42.72685299, -72.458271 42.728522039999994, -72.45870516 42.729687989999995, -72.463545 42.73656903, -72.46801296 42.741529019999994, -72.4730720399999
792                                     UHC of Wyoming                                     POLYGON ((-111.048975 44.474072039999996, -111.04909199999999 44.132367959999996, -111.04716708 42.259811039999995, -111.04669007999999 42.00156801, -111.06253511999999 41.003397989999996, -109.05007715999999 41.000659019999993, -108.30020615999999 41.0000
793                                     UHC of Western Iowa                                POLYGON ((-96.454056959999988 43.08335199, -96.45584688 43.07717502, -96.45619391999999 43.072398989999996, -96.459143039999987 43.06869, -96.45879312 43.06701501, -96.462968039999993 43.062912, -96.46991315999999 43.06221297, -96.473922839999986 43.063634
794                                     UHC of Coastal Connecticut                         POLYGON ((-73.72777608 41.100696, -73.721730959999988 41.092824959999994, -73.71802512 41.089208039999995, -73.69468092 41.05979001, -73.68968808 41.053418009999994, -73.68296004 41.045313959999994, -73.67977187999999 41.04192303, -73.675922039999989 41.03
795                                     UHC of Northwest Virginia                          MULTIPOLYGON (((-77.266496159999988 38.81124702, -77.266334879999988 38.81189196, -77.2663350927387 38.811892151056206, -77.266496159999988 38.81124702)), ((-78.673973039999993 38.447597970000004, -78.668183159999984 38.455028010000007, -78.653130839999974
796                                     UHC of Rhode Island                                MULTIPOLYGON (((-70.973694 41.86113201, -70.979517 41.883146999999994, -70.98154812 41.88567303, -70.98167412 41.88637404, -70.980950159999992 41.886677969999994, -70.983686159999991 41.89496301, -70.98674004 41.902199999999993, -70.98721416 41.90549598, -
797                                     UHC of Lower Hudson Valley                         POLYGON ((-73.65636792 41.84564202, -73.65784896 41.838262019999995, -73.668916079999988 41.838390989999994, -73.67687892 41.834627999999995, -73.67994216 41.849075969999994, -73.68838812 41.844429, -73.68735384 41.84285697, -73.70976096 41.84092602, -73.7
798                                     UHC of Eastern Mass                                POLYGON ((-71.27767404 42.448976009999996, -71.27638092 42.449128019999996, -71.272736999999992 42.45041997, -71.27064 42.45059403, -71.27080595999999 42.451052039999993, -71.27243388 42.459570989999996, -71.27199504 42.46095096, -71.268159959999991 42.465
799                                     UHC of Western New York                            POLYGON ((-77.72179896 41.99879898, -77.720202 42.001849979999996, -77.721128999999991 42.00409602, -77.72059008 42.00490899, -77.72206392 42.005307959999996, -77.723471159999988 42.007205969999994, -77.72340888 42.007421969999996, -77.72261904 42.00696, -
800                                     UHC of Eastern New York                            POLYGON ((-73.50486516 41.824500029999996, -73.498731839999991 41.89012002, -73.48715784 42.049637999999995, -73.49687999999999 42.04967499, -73.508570999999989 42.08777001, -73.489671 42.13709496, -73.48326084 42.15485997, -73.477850039999993 42.169563, -
801                                     UHC of Northern Washington                         MULTIPOLYGON (((-120.65495003999999 48.723679979999993, -120.731382 48.77304597, -120.75987708 48.95908299, -120.82149791999998 48.94375203, -120.87811187999999 48.96572499, -120.85135487999999 49.000363019999995, -121.94972388 49.000023, -122.136553079999
